ID,Full_Prompt,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Points_2,Points_3,Points_4
68,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which of the following contains a vague pronoun reference? (0) After scouring the classified ads for days, Paul finally found a used car that fit his budget. The sedan had Bluetooth, but it needed to be fixed. (1) After scouring the classified ads for days, Paul finally found a used car that fit his budget. The sedan needed to be fixed, but it had Bluetooth. (100 points)
2. What is the capital of Rhode Island? (0) Annapolis (1) Newport (2) Providence (3) Dover (1 points)
3. Based on the event chain, which event happens right after the railroad owners buy a steam-powered machine? (0) John Henry challenges the machine to a contest. (1) John Henry gets sick. (10 points)
4. What can Percy and Cole trade to each get what they want? (0) Percy can trade his tomatoes for Cole's broccoli. (1) Cole can trade his broccoli for Percy's oranges. (2) Cole can trade his almonds for Percy's tomatoes. (3) Percy can trade his tomatoes for Cole's carrots. (50 points)

What is your choice and its answer?","After scouring the classified ads for days, Paul finally found a used car that fit his budget. The sedan had Bluetooth, but it needed to be fixed.",Providence,John Henry challenges the machine to a contest.,Percy can trade his tomatoes for Cole's broccoli.,1,10,50
69,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Those images that yet
Fresh images beget,
That dolphin-torn, that gong-tormented sea.
—W. B. Yeats, ""Byzantium"" (0) assonance (1) chiasmus (100 points)
2. Complete the sentence.
In this chemical reaction, oxygen is a (). (0) reactant (1) product (50 points)
3. What is the capital of New Mexico? (0) Memphis (1) Albuquerque (2) Santa Fe (3) Olympia (1 points)
4. Is magnetite a mineral? (0) no (1) yes (10 points)

What is your choice and its answer?",assonance,reactant,Santa Fe,yes,50,1,10
70,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which set of instructions is more formal? (0) Enter the applicant's name and address in the spaces provided. (1) Write down your name and address on the lines. (100 points)
2. What is the capital of Hawaii? (0) Carson City (1) Honolulu (2) Salem (3) Hilo (1 points)
3. Use the evidence in the text to select the photosynthetic organism. (0) The Sargasso Sea in the Atlantic Ocean is named after Sargassum algae. This organism floats on the surface of tropical waters and uses energy from sunlight to make food. (1) The shaggy frogfish is able to blend into its surroundings because it looks like a rock covered in algae. The shaggy frogfish also has a small, white fin on its head that it uses to attract other fish. The frogfish can eat these fish in one gulp. (50 points)
4. Using only these supplies, which question can Celine investigate with an experiment? (0) Does dark chocolate or white chocolate melt faster when heated on the stove? (1) Does milk chocolate or dark chocolate melt faster when heated on the stove? (2) Does milk chocolate melt faster when heated in a microwave or on a stove? (10 points)

What is your choice and its answer?",Enter the applicant's name and address in the spaces provided.,Honolulu,The Sargasso Sea in the Atlantic Ocean is named after Sargassum algae. This organism floats on the surface of tropical waters and uses energy from sunlight to make food.,Does milk chocolate or dark chocolate melt faster when heated on the stove?,1,50,10
71,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Joseph is a real Benedict Arnold. After promising to work on my campaign for class president, he decided to support my opponent. (0) simile (1) allusion (100 points)
2. Select the organism in the same species as the moon jellyfish. (0) Aequorea victoria (1) Cyanea capillata (2) Aurelia aurita (50 points)
3. What do these two changes have in common?
peeling a banana
tying a shoelace (0) Both are only physical changes. (1) Both are caused by cooling. (2) Both are caused by heating. (3) Both are chemical changes. (1 points)
4. Which ocean is highlighted? (0) the Arctic Ocean (1) the Southern Ocean (2) the Indian Ocean (3) the Pacific Ocean (10 points)

What is your choice and its answer?",allusion,Aurelia aurita,Both are only physical changes.,the Pacific Ocean,50,1,10
72,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
""This mattress is as soft as concrete,"" Luke complained as he tested the bed in his hotel room. (0) pun (1) verbal irony (100 points)
2. Complete the sentence.
The Motagua Fault formed at a () boundary. (0) transform (1) convergent (2) divergent (50 points)
3. What is the capital of Missouri? (0) Jefferson City (1) Saint Louis (2) Lincoln (3) Salt Lake City (10 points)
4. Is the following trait inherited or acquired?
Lena can ride a motorcycle. (0) inherited (1) acquired (1 points)

What is your choice and its answer?",verbal irony,transform,Jefferson City,acquired,50,10,1
73,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Is this a run-on sentence?
In 2014, researchers discovered forgotten satellite images of Earth from the early 1960s that, when compared with recent satellite photographs, reveal how humans have altered the face of the planet. (0) no (1) yes (100 points)
2. Using only these supplies, which question can Christina investigate with an experiment? (0) Do the deer eat fewer leaves from bean plants sprayed with garlic spray than from unsprayed bean plants? (1) Do the deer eat fewer leaves from bean plants sprayed with coffee spray than from unsprayed bean plants? (2) Do the deer eat more leaves from tomato plants or from squash plants? (50 points)
3. Which type of force from the driver's foot presses the gas pedal down? (0) push (1) pull (1 points)
4. Will these magnets attract or repel each other? (0) repel (1) attract (10 points)

What is your choice and its answer?",no,Do the deer eat fewer leaves from bean plants sprayed with garlic spray than from unsprayed bean plants?,push,repel,50,1,10
74,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which letter opening is more formal? (0) Dear Mr. Boyer, (1) Dear Andrew, (100 points)
2. What is the volume of a soda bottle cap? (0) 10 liters (1) 10 milliliters (10 points)
3. Select the living thing. (0) echidna (1) flower pot (1 points)
4. Is the following statement about our solar system true or false?
Of the four smallest planets, two are made mainly of gas. (0) true (1) false (50 points)

What is your choice and its answer?","Dear Mr. Boyer,",10 milliliters,echidna,false,10,1,50
75,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word factoid in its traditional sense? (0) As a geneticist, Belle enjoys watching science documentaries and sharing various factoids she's learned with her colleagues. (1) As a geneticist, Belle dislikes many popular sci-fi movies because they often present audiences with factoids that misrepresent her field. (100 points)
2. Complete the sentence.
Bending a paper clip is a (). (0) chemical change (1) physical change (1 points)
3. Which correctly shows the title of a movie? (0) a Monster in Paris (1) A Monster in Paris (10 points)
4. What does the idiom in this text suggest?
""Speak of the devil!"" Reagan declared when Elijah strolled into the room. (0) Reagan had just been speaking about Elijah. (1) Reagan didn't trust Elijah. (50 points)

What is your choice and its answer?","As a geneticist, Belle dislikes many popular sci-fi movies because they often present audiences with factoids that misrepresent her field.",physical change,A Monster in Paris,Reagan had just been speaking about Elijah.,1,10,50
76,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Is this a run-on sentence?
On average, office workers spend more than five hours sitting at their desks, researchers believe that extended periods of sitting can have a negative impact on overall health. (0) no (1) yes (100 points)
2. What kind of sentence is this?
Robert has never tried chocolate ice cream before, which I find astounding! (0) interrogative (1) exclamatory (2) declarative (50 points)
3. Which continent is highlighted? (0) Australia (1) North America (2) Africa (3) Antarctica (10 points)
4. Which greeting is correct for a letter? (0) Dear grandma zoe, (1) Dear Grandma Zoe, (1 points)

What is your choice and its answer?",yes,exclamatory,Australia,"Dear Grandma Zoe,",50,10,1
77,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
We were expecting twenty guests, but only ten came. We had enough extra food to feed the entire town! (0) hyperbole (1) euphemism (100 points)
2. Which of these states is farthest north? (0) California (1) Pennsylvania (2) Utah (3) Virginia (1 points)
3. During this time, thermal energy was transferred from () to (). (0) each aquarium . . . the surroundings (1) the surroundings . . . each aquarium (50 points)
4. What is the capital of Idaho? (0) Salem (1) Santa Fe (2) Nampa (3) Boise (10 points)

What is your choice and its answer?",hyperbole,Pennsylvania,each aquarium . . . the surroundings,Boise,1,50,10
78,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word ironic in its traditional sense? (0) Last winter, Jordan took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, a rare snowstorm happened to hit Florida that week. (1) Last winter, Jordan took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, he just missed a few of his college friends, who had been in Florida the previous week. (100 points)
2. Which month is the hottest on average in Rome? (0) December, January, and February (1) July and August (2) October and November (10 points)
3. Select the vertebrate. (0) Tasmanian devil (1) bull ant (1 points)
4. Which of the following could Kirk's test show? (0) how many solar panels could fit on each side of the roof (1) which side of the roof got more sun over one day (2) the amount of sunlight the roof would get throughout the year (50 points)

What is your choice and its answer?","Last winter, Jordan took a vacation to Florida to escape Boston's cold, snowy weather. In an ironic twist, a rare snowstorm happened to hit Florida that week.",July and August,Tasmanian devil,which side of the roof got more sun over one day,10,1,50
79,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which logical fallacy is used in the text?
Mayor Goodman wants to create more bicycle lanes in Milford. However, many citizens of Milford live far from work. It would not be realistic to force us to give up our cars and bike everywhere. (0) bandwagon fallacy: the assumption that the popular choice is automatically correct (1) circular reasoning: an argument that supports a claim with the claim itself (2) straw man: a misrepresentation of an opponent's position that makes it easier to argue against (100 points)
2. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The magnitude of the magnetic force is smaller in Pair 2. (1) The magnitude of the magnetic force is the same in both pairs. (2) The magnitude of the magnetic force is smaller in Pair 1. (50 points)
3. Based on the table, which trickster figure is from Scandinavian traditions? (0) Coyote (1) Loki (10 points)
4. Is a crayon a solid, a liquid, or a gas? (0) a liquid (1) a gas (2) a solid (1 points)

What is your choice and its answer?",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,The magnitude of the magnetic force is smaller in Pair 2.,Loki,a solid,50,10,1
80,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
When Porter finally agreed to let his daughter adopt the stray dog, she responded with a smile that was a mile wide. (0) oxymoron (1) hyperbole (100 points)
2. Which tense does the sentence use?
Philip will wash the dishes after dinner. (0) past tense (1) future tense (2) present tense (1 points)
3. Which country is highlighted? (0) Solomon Islands (1) Nauru (2) Vanuatu (3) Fiji (50 points)
4. What information supports the conclusion that Harper acquired this trait? (0) Harper is most interested in human biology. (1) Harper learned biology by reading, observing, and experimenting. (10 points)

What is your choice and its answer?",hyperbole,future tense,Vanuatu,"Harper learned biology by reading, observing, and experimenting.",1,50,10
81,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
It's an open secret that Jonathan is writing a book based on his experiences living in Singapore. He never talks about it, but almost all his friends know. (0) oxymoron (1) hyperbole (100 points)
2. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The magnetic force is stronger in Pair 2. (1) The magnetic force is stronger in Pair 1. (2) The strength of the magnetic force is the same in both pairs. (1 points)
3. What is the capital of Washington? (0) Olympia (1) Cheyenne (2) Denver (3) Seattle (10 points)
4. Identify the question that Jackson's experiment can best answer. (0) Do steel nails take fewer days to rust in water compared to vinegar? (1) Do steel nails rust in fewer days when submerged in a large volume of liquid compared to a small volume? (50 points)

What is your choice and its answer?",oxymoron,The magnetic force is stronger in Pair 2.,Olympia,Do steel nails take fewer days to rust in water compared to vinegar?,1,10,50
82,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Meg's phone slipped out of her pocket, landing in the toilet with a plop. (0) idiom (1) onomatopoeia (100 points)
2. Would you find the word prize on a dictionary page with the following guide words?
pirate - puppet (0) yes (1) no (10 points)
3. Which word does not rhyme? (0) game (1) save (2) gave (1 points)
4. Complete the sentence so that it uses personification.
The lone tumbleweed () across the desert road. (0) rolled (1) ran (50 points)

What is your choice and its answer?",onomatopoeia,yes,game,ran,10,1,50
83,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word factoid in its traditional sense? (0) The Brookfield Daily Mail was forced to issue a retraction after printing a factoid about Brookfield's founder. It turned out that the reporter had written the article based on local legend rather than researching the actual history. (1) A reporter for the Brookfield Daily Mail dug up an amusing factoid about Brookfield's founder while researching for an article about the town's early years. (100 points)
2. What do these two changes have in common?
a banana getting ripe on the counter
newly poured concrete becoming hard (0) Both are caused by heating. (1) Both are chemical changes. (2) Both are caused by cooling. (3) Both are only physical changes. (50 points)
3. What is the volume of a large trash can? (0) 17 fluid ounces (1) 17 cups (2) 17 gallons (10 points)
4. What do these two changes have in common?
cooking an egg
burning food on a stove (0) Both are chemical changes. (1) Both are only physical changes. (2) Both are caused by cooling. (1 points)

What is your choice and its answer?",The Brookfield Daily Mail was forced to issue a retraction after printing a factoid about Brookfield's founder. It turned out that the reporter had written the article based on local legend rather than researching the actual history.,Both are chemical changes.,17 gallons,Both are chemical changes.,50,10,1
84,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
Rudy persisted despite his friends' attempts to tell him that this was a Gordian knot. (0) ancient legend (1) U.S. history (100 points)
2. What is the name of the colony shown? (0) Michigan (1) Massachusetts (2) Rhode Island (3) Connecticut (50 points)
3. Which property matches this object? (0) yellow (1) slippery (1 points)
4. Is the following statement about our solar system true or false?
Jupiter's volume is more than 1,000 times as great as Earth's volume. (0) false (1) true (10 points)

What is your choice and its answer?",ancient legend,Connecticut,slippery,true,50,1,10
85,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word peruse in its traditional sense? (0) Jack perused the nails in the hardware aisle for almost an hour, trying to figure out which type would be best for his project. (1) Before returning to the stockroom, Jack briefly perused the nails in the hardware aisle to see if anything needed to be restocked. (100 points)
2. Compare the motion of two blue whales. Which blue whale was moving at a lower speed? (0) a blue whale that moved 55miles in 5hours (1) a blue whale that moved 50miles in 5hours (1 points)
3. Which phrase has a more negative connotation? (0) push the door closed (1) shove the door closed (10 points)
4. Complete the statement. Assume that the sled's mass did not change.
The gravitational potential energy stored between the sled and Earth () as Rosa rode down the hill. (0) stayed the same (1) decreased (2) increased (50 points)

What is your choice and its answer?","Jack perused the nails in the hardware aisle for almost an hour, trying to figure out which type would be best for his project.",a blue whale that moved 50miles in 5hours,shove the door closed,decreased,1,10,50
86,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Jessica's sweater shrank just a bit. It fits her baby sister now. (0) apostrophe (1) understatement (100 points)
2. Suppose Julie decides to take a trip to Minnesota. Which result would be a cost? (0) Julie will save some money. Plane tickets for Julie to get to Minnesota are less expensive than tickets to Tennessee. (1) Julie will give up the chance to go to Tennessee. She would have enjoyed a trip to Tennessee more than Minnesota. (10 points)
3. Based on this information, what is Flounder's phenotype for the eye color trait? (0) red eyes (1) black eyes (50 points)
4. Select the mixture. (0) silver and gold (1) sugar (1 points)

What is your choice and its answer?",understatement,Julie will give up the chance to go to Tennessee. She would have enjoyed a trip to Tennessee more than Minnesota.,black eyes,silver and gold,10,50,1
87,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Julia gazed at the ancient pug that seemed to sleep all day and noted, ""You're an energetic puppy!"" (0) idiom (1) verbal irony (100 points)
2. Which word is not like the others? (0) desk (1) shovel (2) saw (3) hammer (1 points)
3. In this experiment, which were part of an experimental group? (0) the sections of wall scrubbed with water only (1) the sections of wall scrubbed with water and baking soda (50 points)
4. Which tense does the sentence use?
Quinn will sweep the sidewalk in front of her store. (0) past tense (1) future tense (2) present tense (10 points)

What is your choice and its answer?",verbal irony,desk,the sections of wall scrubbed with water and baking soda,future tense,1,50,10
88,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
Kaylee was known among her coworkers for her spartan ways. (0) Shakespeare (1) Greek history (100 points)
2. In this food chain, the midge larva is a primary consumer. Why? (0) It eats a secondary consumer. (1) It eats a producer. (2) It eats a primary consumer. (10 points)
3. Which is a complete sentence? (0) Lucy spilled apple juice on the carpet. (1) The judge talks about the new law, everyone listens. (1 points)
4. Based on this information, what is this pea plant's genotype for the pea color gene? (0) yellow peas (1) Ee (50 points)

What is your choice and its answer?",Greek history,It eats a producer.,Lucy spilled apple juice on the carpet.,Ee,10,1,50
89,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the verbal irony in this text suggest?
""Sleeping through the rooster's crowing was no problem,"" Raymond joked with a yawn. (0) Raymond slept poorly. (1) Raymond finds roosters amusing. (100 points)
2. Which type of sentence is this?
Bonnie is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years. (0) compound (1) simple (2) complex (3) compound-complex (50 points)
3. Which is a simple sentence? (0) Every morning my alarm clock wakes me at six o'clock. (1) Dad took the last chair, so you will have to stand. (1 points)
4. Does this passage describe the weather or the climate? (0) weather (1) climate (10 points)

What is your choice and its answer?",Raymond slept poorly.,compound-complex,Every morning my alarm clock wakes me at six o'clock.,weather,50,1,10
90,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which type of sentence is this?
As Alvin sat down on the rickety old chair, it abruptly collapsed beneath him. (0) complex (1) simple (2) compound (3) compound-complex (100 points)
2. What is the capital of Hawaii? (0) Pierre (1) Santa Fe (2) Sacramento (3) Honolulu (10 points)
3. Which word would you find on a dictionary page with the following guide words?
weary - win (0) wonder (1) whale (1 points)
4. Which statement describes the clown's motion? (0) The clown has a constant velocity. (1) The clown is accelerating. (50 points)

What is your choice and its answer?",complex,Honolulu,whale,The clown is accelerating.,10,1,50
91,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which text uses the word terribly in its traditional sense? (0) Hassan shivered terribly as he gazed at the snow-clad slope. After calming his nerves, he began his descent. (1) Hassan shivered as he gazed at the terribly steep, snowy slope. After calming his nerves, he began his descent. (100 points)
2. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (0) The magnitude of the magnetic force is smaller in Pair 2. (1) The magnitude of the magnetic force is the same in both pairs. (2) The magnitude of the magnetic force is smaller in Pair 1. (50 points)
3. In this food chain, the mayfly is a primary consumer. Why? (0) It eats a tertiary consumer. (1) It eats a producer. (2) It makes its own food. (10 points)
4. Is a paper clip a solid, a liquid, or a gas? (0) a solid (1) a liquid (2) a gas (1 points)

What is your choice and its answer?","Hassan shivered terribly as he gazed at the snow-clad slope. After calming his nerves, he began his descent.",The magnitude of the magnetic force is smaller in Pair 2.,It eats a producer.,a solid,50,10,1
92,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Sophie, I've told you a million times: you need to dry the dishes before you put them away. (0) oxymoron (1) hyperbole (100 points)
2. What kind of sentence is this?
Please give me the contact information for that physician you recommended. (0) imperative (1) exclamatory (2) interrogative (10 points)
3. Complete the statement.
Lithium chloride is (). (0) an elementary substance (1) a compound (50 points)
4. Select the reptile below. (0) zebra (1) box turtle (1 points)

What is your choice and its answer?",hyperbole,imperative,a compound,box turtle,10,50,1
93,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which of the following contains a vague pronoun reference? (0) Mrs. Monroe told her assistant to book a flight to Springtown immediately. (1) Mrs. Monroe informed her assistant that she had to book a flight to Seoul immediately. (100 points)
2. Select the organism in the same species as the yellow-footed gull. (0) Sturnus vulgaris (1) Larus livens (2) Cyanocitta stelleri (10 points)
3. Using only these supplies, which question can Melissa investigate with an experiment? (0) Which type of sunflower grows more leaves? (1) Do sunflowers grow taller if they are planted in planter boxes or in pots? (2) Do sunflowers grow bigger in sunny planter boxes or in shady planter boxes? (50 points)
4. Select the reptile below. (0) Mojave rattlesnake (1) western toad (1 points)

What is your choice and its answer?",Mrs. Monroe informed her assistant that she had to book a flight to Seoul immediately.,Larus livens,Do sunflowers grow bigger in sunny planter boxes or in shady planter boxes?,Mojave rattlesnake,10,50,1
94,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
Bobby persisted despite his friends' attempts to tell him that this was a Gordian knot. (0) U.S. history (1) ancient legend (100 points)
2. Is coaching basketball a good or a service? (0) a good (1) a service (1 points)
3. Which solution has a higher concentration of pink particles? (0) Solution B (1) neither; their concentrations are the same (2) Solution A (50 points)
4. Which area voted for Lincoln? (0) the Northwest (1) the South (10 points)

What is your choice and its answer?",ancient legend,a service,Solution A,the Northwest,1,50,10
95,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What does the personification in this text suggest?
There was never a sound beside the wood but one,
And that was my long scythe whispering to the ground.
—Robert Frost, ""Mowing"" (0) The scythe gently touched the ground. (1) The scythe made a soft swishing sound. (100 points)
2. What is the capital of Kentucky? (0) Frankfort (1) Columbia (2) Oklahoma City (3) Detroit (1 points)
3. Based on this information, what is this plant's phenotype for the flower form trait? (0) double flowers (1) single flowers (50 points)
4. What can Terrell and Sophie trade to each get what they want? (0) Terrell can trade his tomatoes for Sophie's broccoli. (1) Sophie can trade her broccoli for Terrell's oranges. (2) Sophie can trade her almonds for Terrell's tomatoes. (3) Terrell can trade his tomatoes for Sophie's sandwich. (10 points)

What is your choice and its answer?",The scythe made a soft swishing sound.,Frankfort,double flowers,Terrell can trade his tomatoes for Sophie's broccoli.,1,50,10
96,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
Good children listen to their parents. Great parents listen to their children. (0) chiasmus (1) assonance (100 points)
2. What can Roxanne and Wesley trade to each get what they want? (0) Roxanne can trade her tomatoes for Wesley's broccoli. (1) Wesley can trade his broccoli for Roxanne's oranges. (2) Wesley can trade his almonds for Roxanne's tomatoes. (3) Roxanne can trade her tomatoes for Wesley's carrots. (50 points)
3. Which property matches this object? (0) hard (1) soft (1 points)
4. Will these magnets attract or repel each other? (0) repel (1) attract (10 points)

What is your choice and its answer?",chiasmus,Roxanne can trade her tomatoes for Wesley's broccoli.,soft,repel,50,1,10
97,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. What is the source of the allusion in the sentence below?
Hayley had her fifteen minutes when her video of kayaking with dolphins went viral. (0) modern history (1) a song (100 points)
2. Which property do these three objects have in common? (0) hard (1) sweet (2) opaque (10 points)
3. Which animal's skin is also adapted for survival in cold places? (0) snowy owl (1) giant pangolin (1 points)
4. Is trachyte a mineral or a rock? (0) mineral (1) rock (50 points)

What is your choice and its answer?",modern history,hard,snowy owl,rock,10,1,50
98,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
When Jayden finally agreed to let his daughter adopt the stray dog, she responded with a smile that was a mile wide. (0) hyperbole (1) oxymoron (100 points)
2. Select the reptile. (0) green sea turtle (1) salmon (2) green tree frog (3) anchovy (10 points)
3. Which greeting is correct for a letter? (0) Dear Mrs. Serrano, (1) Dear Mrs. serrano, (1 points)
4. Select the organism in the same genus as the eastern gray kangaroo. (0) Equus quagga (1) Macropus rufus (2) Camelus dromedarius (50 points)

What is your choice and its answer?",hyperbole,green sea turtle,"Dear Mrs. Serrano,",Macropus rufus,10,1,50
99,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which figure of speech is used in this text?
The war situation has developed not necessarily to Japan's advantage.
—Emperor Hirohito, surrendering in World War II (0) antithesis (1) understatement (100 points)
2. Hanukkah is a holiday in which religion? (0) Islam (1) Judaism (2) Hinduism (3) Christianity (1 points)
3. Identify the question that Brittany's experiment can best answer. (0) Does the humidity level where tomato seeds are planted affect the number of tomato seedlings that grow? (1) Do more tomato seedlings grow when they are planted in soil with fertilizer compared to soil without fertilizer? (10 points)
4. Which of the following contains a vague pronoun reference? (0) Zach and his best friend go to the same college, but he is graduating this coming June. (1) Zach and his best friend go to the same college, but Zach is graduating this coming June. (50 points)

What is your choice and its answer?",understatement,Judaism,Do more tomato seedlings grow when they are planted in soil with fertilizer compared to soil without fertilizer?,"Zach and his best friend go to the same college, but he is graduating this coming June.",1,10,50
100,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
You will receive a reward proportional to the points you earn.
Choose one question and answer it carefully.

1. Which logical fallacy is used in the text?
Ben's definitely voting for the Conservative Party in the next election because he said there was no way he was voting for the Labour Party. (0) false dichotomy: an argument that presents only two choices when more options exist (1) false causation: the assumption that because two things happened together, one caused the other (2) appeal to nature: the assumption that natural things are always good (100 points)
2. Which animal is also adapted for flight? (0) Arctic tern (1) nilgai (1 points)
3. Which continent is highlighted? (0) Australia (1) North America (2) Africa (3) Antarctica (10 points)
4. Which of the following organisms is the secondary consumer in this food web? (0) orca (1) sea otter (2) sea urchin (3) phytoplankton (50 points)

What is your choice and its answer?",false dichotomy: an argument that presents only two choices when more options exist,Arctic tern,Australia,sea otter,1,10,50
